latitude,longitude,label,street,city,state,zip,website,phone
40.742683,-73.873578,Ch'an Meditation Center of Dharma Drum,90-56 Corona Avenue,Elmhurst,NY,11373,http://chancenter.org/,(718) 592-6593
40.775409,-73.809051,Fo Guang Shan Temple of IBPS,154-37 Barclay Avenue,Flushing,NY,11355,http://www.fgsny.org/,(718) 939-8318
